api,per_page,elapsed_time,body_size
graphql,25,2.559648,139236
rest,25,1.133126,573760
graphql,5,1.062708,28708
rest,5,0.487074,119856
graphql,25,2.673391,139236
rest,25,1.137831,573760
graphql,5,1.087702,28708
rest,5,0.506617,119856
graphql,25,2.556812,139236
rest,25,1.067274,573760
graphql,5,0.851298,28708
rest,5,0.487466,119856
graphql,25,2.672183,139236
rest,25,1.377567,573760
graphql,5,1.005671,28708
rest,5,0.540807,119856
graphql,25,2.671692,139236
rest,25,1.225637,573760
graphql,5,0.808733,28708
rest,5,0.497106,119856
graphql,25,3.929757,139236
rest,25,1.085213,573760
graphql,5,0.949415,28708
rest,5,0.489476,119856
graphql,25,2.509237,139236
rest,25,1.0388,573760
graphql,5,0.944991,28708
rest,5,0.530843,119856
graphql,25,2.44996,139236
rest,25,1.176919,573760
graphql,5,0.987747,28708
rest,5,0.520006,119856
graphql,25,2.731495,139236
rest,25,1.300002,573760
graphql,5,0.976386,28708
rest,5,0.523467,119856
graphql,25,2.642087,139236
rest,25,2.249915,573760
graphql,5,0.89051,28708
rest,5,0.476086,119856
graphql,25,2.593989,139236
rest,25,1.123516,573760
graphql,5,1.067324,28708
rest,5,0.55763,119856
graphql,25,2.768492,139236
rest,25,1.148011,573760
graphql,5,0.978072,28708
rest,5,0.518086,119856
graphql,25,3.067706,139236
rest,25,1.352557,573760
graphql,5,0.940857,28708
rest,5,0.522121,119856
graphql,25,2.602466,139236
rest,25,1.079474,573760
graphql,5,0.905294,28708
rest,5,0.519593,119856
graphql,25,2.575148,139236
rest,25,1.10463,573760
graphql,5,0.958685,28708
rest,5,0.486444,119856
graphql,25,2.61336,139236
rest,25,1.041161,573760
graphql,5,0.913049,28708
rest,5,0.513173,119856
graphql,25,2.630193,139236
rest,25,1.03854,573760
graphql,5,0.942684,28708
rest,5,0.524355,119856
graphql,25,2.619017,139236
rest,25,1.159653,573760
graphql,5,1.238394,28708
rest,5,0.468919,119856
